labID,age,error,depth,cc,dR,dSTD
Greece3A 1.016,-68,1,20.6,0,0,0
Greece3A 2.032,-67,1,35.2,0,0,0
Greece3A 4.064,-61,2,51.4,0,0,0
Greece3A 6.096,-58,3,86.6,0,0,0
Greece3A 8.128,-51,4,137.8,0,0,0
Greece3A 10.16,-47,5,160,0,0,0
Greece3A 13.208,-38,8,227.8,0,0,0
Greece3A 16.256,-29,10,289.6,0,0,0
