labID,age,error,depth,cc,dR,dSTD
Greece1D 1.278,-68,1,56.6,0,0,0
Greece1D 2.556,-66,1,108.2,0,0,0
Greece1D 5.112,-54,3,209.4,0,0,0
Greece1D 11.502,-36,6,436.4,0,0,0
Greece1D 16.614,-22,8,610.8,0,0,0
Greece1D 20.448,-11,10,756.6,0,0,0
