"","RC1","RC4","RC2","RC3"
"1848",-0.950280804024064,0.313694445718496,-1.09529803947305,0.956166266049958
"1849",-0.80898760188362,0.346313458649319,-1.44852171939127,0.221481855905662
"1850",-0.698208011143187,0.5636963567509,-1.5496556984052,0.0122168585147254
"1854",0.218488017983504,1.19245027001606,-1.34380268642324,0.346410148873165
"2228",-0.648978279856371,0.0599604880727572,1.05443078297464,0.13667697892682
"2231",-0.83180761110792,-0.37747492005819,0.958871701858584,0.601284529963897
"2232",-0.676349881282227,0.108970714532097,1.15968531245781,-1.2345632222454
"2236",-0.820146572466413,-0.112525449384879,1.21244161083294,0.230882608408899
"2316",-0.843853798257348,0.716982040902396,0.133241113707994,1.90000809403999
"2327",-0.471591214267555,1.30803449995971,-0.0303645240499052,0.16701700873654
"2421",-0.1288255279658,1.36841296109255,0.105079531570027,-1.52812239700693
"2424",-0.44168106659224,1.13805758162264,0.616349879778375,0.411109206392278
"2469",0.721421602948418,1.60869191584383,1.24147030560122,0.100300174270931
"2470",0.539560834456155,1.15874714077186,1.12095904887549,0.553811360674368
"2471",0.620859079057678,1.23511337474306,1.01839686367752,0.0518428172620917
"2473",-0.282505318115211,0.451808155712913,0.689156010820276,0.172220181115507
"2489",3.55570944166565,-0.140713763286286,1.98942237681068,2.3428571432508
"2491",-1.74792965454051,-0.169357018835902,-0.403498107754507,2.17532366237529
"2656",-0.00893203019944089,-1.86208820188226,0.795267880837115,-0.311345621895552
"2727",-0.51130999981793,0.1020059743448,-0.175997028985069,-0.26781851077738
"2741",-0.730026070781149,-0.213234053885458,0.1365483945043,-0.930244799594466
"2745",-0.1810423579166,1.29950933795002,0.692573614912794,-1.92304890421555
"2760",0.2226646107462,0.882353413069522,-0.92973701785971,1.10536669658751
"2769",-0.471822793466649,-0.369447516167867,-0.692961027680995,0.364668439985348
"2779",0.281392724349192,-0.360166346781307,-1.2765088080676,-0.929992780222291
"2786",-0.838122570603926,0.0938374266194748,-0.182632338700541,-0.507545927720994
"2788",0.241901400013004,0.902419900446639,-1.98652985669989,0.323562353247174
"2799",-0.910590031881619,-0.370815117276261,1.91373751739421,-1.3303873562396
"2884",-0.0933825773649659,-1.48657017963468,-0.245823307946669,-0.385696383856079
"2885",-0.350036326603649,-1.87283055673814,-0.114927968536406,0.893445402169069
"2888",-0.377248876320657,-1.6603748855241,0.348499258583965,1.1201124678242
"2895",-0.0710467822167702,-2.09191033591634,0.26255544367722,-1.5424728143065
"2899",0.175954447297433,-2.00293407098055,0.265363497391,0.358303614872997
"3182",2.32749410304911,-0.105368464991093,-1.59342673632436,-1.34012224236337
"3186",2.02278884839892,-0.130954604372668,-0.575172829146234,-1.12287662170331
"3241",0.719578235673346,-0.744919775896401,-0.914381324619306,0.605725901268021
"3242",0.83811084185837,-0.370669883820914,-0.571393097030339,-0.134075518178877
"3244",0.746015084158448,-0.913754976806616,-1.20867772758998,-0.10358410595701
"3245",1.3211179226075,0.313350419565337,0.374073567452702,-0.152612161867096
"3352",-0.658351435587119,0.191700245855542,0.251186130965419,-1.40628440256483
