"","RC1","RC4","RC2","RC3"
"k",0.00523493040200303,-0.0461906502638456,0.272768383548823,0.869502516432484
"OC",0.2422085271264,-0.257358579040496,-0.778467255397959,-0.121765233413401
"SAR",-0.0428110746890338,0.677626111953322,0.33795992542272,-0.419331877179438
"temperature",-0.722230055015466,0.512450654239136,-0.268126456472314,0.112062964002652
"nitratos",0.74267911397429,-0.113368224725342,-0.157295938182519,0.330696820309423
"pH",0.150164687841884,-0.0742969732485929,0.795849468136827,0.0673718427890843
"phosphates",0.863905982515489,-0.0544950128375057,0.00641677678718277,-0.0881041358418493
"salinidade",-0.183282788819044,0.829840884979296,0.0178885490767161,0.0832596341482198
"water.velocity",-0.498920354532544,-0.430312080329744,0.339315978902059,-0.488693473857162
