"","RC1","RC2","RC3"
"2228",-0.17174016717459,-0.506570633852839,-0.80211458213096
"2229",-0.0583733854769902,-0.588987296085872,-0.790327579610134
"2230",-0.355070268756645,-0.39101759924761,-1.01010419763755
"2231",-0.142894818944586,-0.590500406636559,-0.953794891457862
"2314",-0.656297271704754,-1.51103076161996,-0.184745606871895
"2315",-1.09189822706508,0.989805925532192,0.211964473179822
"2316",-1.27132086017791,0.970305954055268,0.295269817260017
"2323",-0.306491704261506,-0.763969881731836,-0.309645206658293
"2324",-0.886403481256433,1.00461678126315,0.450841970992426
"2325",-1.39117586153023,1.59420008578409,0.863759406602445
"2369",-0.255716205645802,-1.09660389046387,-1.08028559880485
"2445",0.28924370767458,0.201566496727688,-0.031491932820644
"2456",2.04318412148833,1.29200996468089,-0.37181306175246
"2470",1.82610429158939,1.45209158807361,-1.30259212806141
"2736",0.549668126505294,-0.395330063439491,1.57833914707604
"2741",0.797724170407397,-0.828807378931805,1.40954071255571
"2745",1.08145783432952,-0.831778884107045,2.02719925813959
