"","RC1","RC2","RC3","RC4"
"2228",-0.333413906846553,-0.344863419947712,-0.312939412887984,-1.29961258339559
"2231",-0.548533359938295,-0.283040611258178,-0.163455385801999,-1.97671000243155
"2316",-0.991642944285808,-0.661716964304809,-1.41016339477875,0.15761382405495
"2327",-0.806464087381736,-0.102163659834727,-1.16727582575189,0.503138901195504
"2421",-0.108506155293169,0.197660402682258,-0.574092681589763,0.915263791238989
"2424",-0.376148945377005,-0.550921208020659,-0.826613141852213,1.23691261060659
"2469",0.606674677469053,-1.20335425111356,1.18187640235986,0.742525538367144
"2470",0.428512104663833,-1.1578464962488,1.29490513005932,0.0605754082354178
"2471",0.452845696031427,-0.952749885639921,1.40783749808314,-0.0251837135829366
"2473",0.0225347309509561,-0.450474841392889,-0.428199826737253,-0.511958208965307
"2727",-0.417803174501052,1.21932503174685,0.457462712932945,-0.29395632034672
"2741",-0.778509679325154,1.87435064987558,1.12984126738756,-0.819993895265887
"2745",-0.187302637987276,1.51834853474503,0.603470506133844,1.73308711691955
"2895",3.03775768182078,0.897446718711537,-1.19265384755682,-0.421702466630158
