"","ID","Ecosystem","P","k","Max.Age","OC","Mud","d13C","SAR","Lat","Long","nitratos","pH","phosphates","temperature","water.velocity","salinidade"
"1848","Mg_010","Mangrove",0.0295870669584567,0.0357240367382204,81.3,15,NA,NA,0.20910209102091,25.923631,-81.612519,0.6246298,8.0614305,0.00059028,25.72731417,25.72859399,0.03178201
"1849","Mg_011","Mangrove",0.0259989779916977,0.0227101090828641,87.7,20.9375,NA,NA,0.23945267958951,26.022361,-81.734111,0.64300368,8.06275287,0.0005723,25.66627994,25.64533909,0.03520533
"1850","Mg_012","Mangrove",0.0170751220930664,0.0152598508587641,92.4,19.2777777777778,NA,NA,0.248917748917749,25.901869,-81.510819,0.6200664,8.05965719,0.00061933,25.76703435,25.77167655,0.02640731
"1854","Mg_016","Mangrove",0.00438617645648412,0.0153924131794288,90.30497605,10.5956666666667,NA,NA,0.354354780873673,29.0775,-82.81583333,2.67260441,8.0488855,0.0011853,23.63638102,23.6110367,0.00342725
"2089","Mg_2480","Mangrove",0.00761416862778451,0.0154708430327845,97.05,4.39833333333333,NA,-17.845,0.154559505409583,9.977241,76.270099,0.31817458,8.041144,0.16032575,29.17120168,29.11606798,0.06697208
"2091","Mg_2483","Mangrove",0.0105043953953824,0.00294058934627972,88.23529412,5.251,61.79,-27.442,0.339999999990933,-25.306667,-48.395,6.85262189,8.03660965,0.6738136,23.33452792,17.31937292,0.04141975
"2100","Mg_2491","Mangrove",0.00947470073508043,0.00612363428085756,90.27777778,3.27507598757143,NA,-27.2671501442857,0.387692307682765,-7.671642,108.823565,1.1914759,8.05350455,0.11691073,27.89586782,27.86141235,0.02699343
"2108","Mg_2499","Mangrove",0.0504671828631818,0.0376512269043506,88.88888889,4.62333333333333,NA,NA,0.89999999998875,5.439585,-53.000624,0.35159038,8.03728038,0.00649742,28.23770968,28.2712946,0.1890083
"2112","Mg_2502","Mangrove",0.0198459350691176,0.00647609534975177,87.06896552,4.61164494218182,74.2035834354545,NA,1.15999999996325,-38.422227,145.294047,0.06592125,8.096503,0.13059123,16.07255506,16.03170578,0.0331741
"2256","Sg_002","Seagrass",0.0111402150787638,0.0249496904523418,90,2.60661456054545,1.38344784127273,-11.0887953453,0.254543333333333,-32.15988889,115.6712222,0.03515508,8.12288004,0.02330084,19.92960975,19.88354018,0.04807923
"2259","Sg_005","Seagrass",0.00356493655382928,0.0270611360162903,86,1.1610818062,3.7472281214,-14.686131998,0.118036046511628,-32.1599015,115.6717469,0.03515508,8.12288004,0.02330084,19.92960975,19.88354018,0.04807923
"2260","Sg_011","Seagrass",0.00422379193862222,0.00204819999001365,96,0.957502940181818,NA,-12.5047329959091,0.323159375,-32.00593889,115.4860694,0.04581685,8.12172185,0.02565566,20.3716496,20.29398585,0.0702058
"2264","Sg_019","Seagrass",0.0108392298863829,0.0307648511140077,87,2.0621935097,NA,-11.216491249,0.257526436781609,-31.99897222,115.5450333,0.04499917,8.1216795,0.02570996,20.27385102,20.1985007,0.06043832
"2344","Sg_112","Seagrass",0.0104759412593491,0.0560561931714795,83,2.1220772572,22.80822394,-12.480612002,0.26384578313253,-25.78701667,113.8516167,0.00158339,8.07558538,0.0030387,22.42397851,22.38900952,0.01173238
"2355","Sg_123","Seagrass",0.0114015088013037,0.0233145279187864,89,2.85962782772222,30.4473806177778,-13.325882453125,0.403005617977528,-25.78699615,113.8518485,0.00158339,8.07558538,0.0030387,22.42397851,22.38900952,0.01173238
"2452","Sg_244","Seagrass",0.0157381097215027,0.0468848485308117,93,1.751772898125,5.24605288625,-17.43,0.523655913978495,36.936167,-1.932033,0.16895522,8.0666933,0.02045407,19.20728787,18.19322229,0.03705282
"2497","Sg_310","Seagrass",0.0391214267523454,0.0342266073817847,88,2.9125341263125,1.50276053846154,-18.68488576625,0.55335965,39.15,2.949167,0.92394042,8.1139421,0.0763289,19.63742821,14.59626142,0.01137595
