"","ID","Ecosystem","C_rho","C_p","C_Gr"
"1","Mg_ 1000","Mangrove",-0.822427690848743,7.34482477142402e-08,"DEC"
"2","Mg_ 1001","Mangrove",-0.6633475580844,1.29306644439946e-05,"DEC"
"3","Mg_ 1002","Mangrove",-0.890196078431373,0,"DEC"
"4","Mg_ 1003","Mangrove",-0.947490347490348,0,"DEC"
"5","Mg_ 1004","Mangrove",-0.3,0.683333333333333,"NT"
"6","Mg_ 1005","Mangrove",-0.9,0.0833333333333333,"DEC"
"7","Mg_ 1006","Mangrove",-0.7,0.233333333333333,"DEC"
"8","Mg_ 1007","Mangrove",-1,0.0166666666666667,"DEC"
"9","Mg_ 1008","Mangrove",-1,0.0166666666666667,"DEC"
"10","Mg_ 1009","Mangrove",-1,0.0166666666666667,"DEC"
"11","Mg_ 1010","Mangrove",0.6,0.35,"INC"
"12","Mg_ 1011","Mangrove",-0.9,0.0833333333333333,"DEC"
"13","Mg_ 1012","Mangrove",-0.7,0.233333333333333,"DEC"
"14","Mg_ 1013","Mangrove",-0.6,0.35,"DEC"
"15","Mg_ 1014","Mangrove",-0.9,0.0833333333333333,"DEC"
"16","Mg_ 1015","Mangrove",0.7,0.233333333333333,"INC"
"17","Mg_ 1016","Mangrove",-0.9,0.0833333333333333,"DEC"
"18","Mg_ 1017","Mangrove",-0.9,0.0833333333333333,"DEC"
"19","Mg_ 1018","Mangrove",0,1,"NT"
"20","Mg_ 1019","Mangrove",0,1,"NT"
"21","Mg_ 1020","Mangrove",0,1,"NT"
"22","Mg_ 1021","Mangrove",-0.4,0.516666666666667,"NT"
"23","Mg_ 1022","Mangrove",-0.65,0.0665619488536155,"DEC"
"24","Mg_ 1023","Mangrove",-0.587878787878788,0.0802150639781515,"DEC"
"25","Mg_ 1024","Mangrove",0.321212121212121,0.367683999158498,"INC"
"26","Mg_ 1025","Mangrove",-0.0666666666666667,0.864753528804526,"NT"
"27","Mg_ 1026","Mangrove",-0.478787878787879,0.166058037179348,"DEC"
"28","Mg_ 1027","Mangrove",-0.927272727272727,0.000130162394465273,"DEC"
"29","Mg_ 1028","Mangrove",-0.575757575757576,0.0877680432613641,"DEC"
"30","Mg_ 1029","Mangrove",-0.857142857142857,0.0238095238095238,"DEC"
"31","Mg_ 1030","Mangrove",-0.261904761904762,0.53640873015873,"NT"
"32","Mg_ 1031","Mangrove",0.745454545454545,0.0184138413143277,"INC"
"33","Mg_ 1032","Mangrove",-0.238095238095238,0.582142857142857,"NT"
"34","Mg_ 1033","Mangrove",0.5,0.177662037037037,"INC"
"35","Mg_ 1034","Mangrove",-0.0909090909090909,0.811416953056796,"NT"
"36","Mg_ 1035","Mangrove",-0.65,0.0665619488536155,"DEC"
"37","Mg_ 1036","Mangrove",-0.757575757575757,0.0159208292880929,"DEC"
"38","Mg_ 1037","Mangrove",-0.769020251778872,4.18395970509935e-06,"DEC"
"39","Mg_ 1038","Mangrove",0.312162039621018,0.0819709664003757,"INC"
"40","Mg_ 1039","Mangrove",-0.928571428571428,0.00674603174603175,"DEC"
"41","Mg_ 1040","Mangrove",-0.885714285714286,0.0333333333333333,"DEC"
"42","Mg_ 1041","Mangrove",-0.857142857142857,0.0238095238095238,"DEC"
"43","Mg_ 1042","Mangrove",-0.976190476190476,0.000396825396825397,"DEC"
"44","Mg_ 1043","Mangrove",-0.766666666666667,0.0213899911816578,"DEC"
"45","Mg_ 1044","Mangrove",-0.933823529411765,0,"DEC"
"46","Mg_ 1045","Mangrove",-0.892156862745098,0,"DEC"
"47","Mg_ 1046","Mangrove",-0.838235294117647,4.03637536560912e-05,"DEC"
"48","Mg_ 1047","Mangrove",-0.454545454545455,0.163386034746161,"DEC"
"49","Mg_ 1048","Mangrove",-0.236363636363636,0.485475943733222,"DEC"
"50","Mg_ 1049","Mangrove",-0.895104895104895,5.94154087557109e-06,"DEC"
"51","Mg_ 1050","Mangrove",-0.923076923076923,0,"DEC"
"52","Mg_ 1051","Mangrove",-0.903030303030303,0.000880224994754135,"DEC"
"53","Mg_ 1052","Mangrove",-0.827272727272727,0.0031151751422363,"DEC"
"54","Mg_ 1053","Mangrove",-0.936363636363636,0,"DEC"
"55","Mg_ 1054","Mangrove",-0.909090909090909,5.55408265736444e-05,"DEC"
"56","Mg_ 1055","Mangrove",-0.481818181818182,0.137219212931031,"DEC"
"57","Mg_ 1056","Mangrove",-0.290909090909091,0.386434553629285,"DEC"
