Core;Core.ID;Location;Ecosystem;veg vs bare;Genus;Life form;lat;long;Bioregions (Short et al. 2007);Habitat.type;WD;Depth;Age Pb;Age.Pb.C;DBD;Corg;Corg M;d13C;Mud;;;
Sg_002;M;Garden Island (Western Australia);Seagrass;Vegetated;Posidonia;Persistent;-32.15988889;115.6712222;Temperate Southern Oceans;coastal;2;20.7271;49;61;0.735174539;0.011954586;0.355831068;-10.41905348;1.474121594;;;
Sg_002;M;Garden Island (Western Australia);Seagrass;Vegetated;Posidonia;Persistent;-32.15988889;115.6712222;Temperate Southern Oceans;coastal;2;22.9089;53;69;0.755607893;0.019105743;0.397515979;-9.871279433;1.527558957;;;
Sg_002;M;Garden Island (Western Australia);Seagrass;Vegetated;Posidonia;Persistent;-32.15988889;115.6712222;Temperate Southern Oceans;coastal;2;25.0907;59;78;1.036120687;0.014793967;0.429793457;-9.588597259;1.598563749;;;
Sg_002;M;Garden Island (Western Australia);Seagrass;Vegetated;Posidonia;Persistent;-32.15988889;115.6712222;Temperate Southern Oceans;coastal;2;27.2725;63;87;0.930496244;0.009284285;0.45004991;-10.05525731;1.249881487;;;
Sg_002;M;Garden Island (Western Australia);Seagrass;Vegetated;Posidonia;Persistent;-32.15988889;115.6712222;Temperate Southern Oceans;coastal;2;29.4543;67;96;1.221219605;0.011251499;0.474598431;;1.3498618;;;
Sg_002;M;Garden Island (Western Australia);Seagrass;Vegetated;Posidonia;Persistent;-32.15988889;115.6712222;Temperate Southern Oceans;coastal;2;31.6361;71;104;0.894065945;0.011418124;0.499510494;-10.56263043;1.68E-08;;;
Sg_002;M;Garden Island (Western Australia);Seagrass;Vegetated;Posidonia;Persistent;-32.15988889;115.6712222;Temperate Southern Oceans;coastal;2;33.8179;75;113;1.008554551;0.01049427;0.522406893;;3.36E-07;;;
Sg_002;M;Garden Island (Western Australia);Seagrass;Vegetated;Posidonia;Persistent;-32.15988889;115.6712222;Temperate Southern Oceans;coastal;2;35.9997;79;126;1.279600255;0.007098462;0.537894316;-11.07000355;3.85E-07;;;
Sg_002;M;Garden Island (Western Australia);Seagrass;Vegetated;Posidonia;Persistent;-32.15988889;115.6712222;Temperate Southern Oceans;coastal;2;38.1815;85;139;1.152832591;0.008578681;0.556611283;-11.14336525;7.72E-07;;;
Sg_002;M;Garden Island (Western Australia);Seagrass;Vegetated;Posidonia;Persistent;-32.15988889;115.6712222;Temperate Southern Oceans;coastal;2;40.3633;89;147;1.130370465;0.005565059;0.568753128;-11.21672696;0;;;
Sg_002;M;Garden Island (Western Australia);Seagrass;Vegetated;Posidonia;Persistent;-32.15988889;115.6712222;Temperate Southern Oceans;coastal;2;42.5451;93;160;1.203877785;0.003501326;0.576392321;-12.22605084;;;;
Sg_002;M;Garden Island (Western Australia);Seagrass;Vegetated;Posidonia;Persistent;-32.15988889;115.6712222;Temperate Southern Oceans;coastal;2;44.7269;97;168;1.053294462;0.006489932;0.590552053;-9.91145715;71.53116627;;;
Sg_002;M;Garden Island (Western Australia);Seagrass;Vegetated;Posidonia;Persistent;-32.15988889;115.6712222;Temperate Southern Oceans;coastal;2;46.9087;101;177;1.082012985;0.002203316;0.595359247;-13.10531157;9.16E-07;;;
Sg_002;M;Garden Island (Western Australia);Seagrass;Vegetated;Posidonia;Persistent;-32.15988889;115.6712222;Temperate Southern Oceans;coastal;2;49.0905;107;190;1.186130617;0.002468274;0.600744527;-13.04625913;78.80372635;;;
Sg_002;M;Garden Island (Western Australia);Seagrass;Vegetated;Posidonia;Persistent;-32.15988889;115.6712222;Temperate Southern Oceans;coastal;2;51.2723;111;198;1.05259529;0.002486712;0.606170035;-12.52772544;0;;;
Sg_002;M;Garden Island (Western Australia);Seagrass;Vegetated;Posidonia;Persistent;-32.15988889;115.6712222;Temperate Southern Oceans;coastal;2;53.4541;115;207;0.854145385;0.001579777;0.609616793;-13.39855638;0;;;
Sg_002;M;Garden Island (Western Australia);Seagrass;Vegetated;Posidonia;Persistent;-32.15988889;115.6712222;Temperate Southern Oceans;coastal;2;55.6359;119;216;0.985110121;0.001385511;0.6126397;-14.45699995;0;;;
Sg_002;M;Garden Island (Western Australia);Seagrass;Vegetated;Posidonia;Persistent;-32.15988889;115.6712222;Temperate Southern Oceans;coastal;2;57.8177;123;224;1.2774676;0.002498734;0.618091439;-13.18508035;0;;;
Sg_002;M;Garden Island (Western Australia);Seagrass;Vegetated;Posidonia;Persistent;-32.15988889;115.6712222;Temperate Southern Oceans;coastal;2;59.9995;127;237;1.285681477;0.00395845;0.626727985;-12.16928841;0;;;
Sg_002;M;Garden Island (Western Australia);Seagrass;Vegetated;Posidonia;Persistent;-32.15988889;115.6712222;Temperate Southern Oceans;coastal;2;62.1813;134;250;0.903159771;0.001274762;0.62950926;-13.87319203;0;;;
Sg_002;M;Garden Island (Western Australia);Seagrass;Vegetated;Posidonia;Persistent;-32.15988889;115.6712222;Temperate Southern Oceans;coastal;2;64.3631;138;258;0.988904392;0.003087095;0.636244685;-11.84873126;0;;;
Sg_002;M;Garden Island (Western Australia);Seagrass;Vegetated;Posidonia;Persistent;-32.15988889;115.6712222;Temperate Southern Oceans;coastal;2;66.5449;142;267;0.879842648;0.005880595;0.649074968;-11.18346037;0;;;
Sg_002;M;Garden Island (Western Australia);Seagrass;Vegetated;Posidonia;Persistent;-32.15988889;115.6712222;Temperate Southern Oceans;coastal;2;68.7267;146;276;0.822700955;0.003989349;0.657778929;-11.49160473;0;;;
Sg_002;M;Garden Island (Western Australia);Seagrass;Vegetated;Posidonia;Persistent;-32.15988889;115.6712222;Temperate Southern Oceans;coastal;2;70.9085;150;284;1.067970974;0.002764986;0.663811575;-13.62217939;0;;;
Sg_002;M;Garden Island (Western Australia);Seagrass;Vegetated;Posidonia;Persistent;-32.15988889;115.6712222;Temperate Southern Oceans;coastal;2;73.0903;156;293;1.130898027;0.005395853;0.675584247;-12.24856659;0;;;
Sg_002;M;Garden Island (Western Australia);Seagrass;Vegetated;Posidonia;Persistent;-32.15988889;115.6712222;Temperate Southern Oceans;coastal;2;75.2721;160;305;1.097063272;0.002885224;0.681879228;-12.66655448;0;;;
Sg_002;M;Garden Island (Western Australia);Seagrass;Vegetated;Posidonia;Persistent;-32.15988889;115.6712222;Temperate Southern Oceans;coastal;2;77.4539;164;314;0.98704112;0.00181399;0.685836991;-14.45267417;0;;;
Sg_002;M;Garden Island (Western Australia);Seagrass;Vegetated;Posidonia;Persistent;-32.15988889;115.6712222;Temperate Southern Oceans;coastal;2;79.6357;168;323;1.199169446;0.001712461;0.689573239;-15.59355921;0;;;
Sg_002;M;Garden Island (Western Australia);Seagrass;Vegetated;Posidonia;Persistent;-32.15988889;115.6712222;Temperate Southern Oceans;coastal;2;81.8175;173.4126543;335;1.357110121;0.003417304;0.697029112;-12.66281158;0;;;
Sg_002;M;Garden Island (Western Australia);Seagrass;Vegetated;Posidonia;Persistent;-32.15988889;115.6712222;Temperate Southern Oceans;coastal;2;83.9993;177.5670807;348;1.060147677;0.001481284;0.700260977;-16.18864124;0;;;
Sg_002;M;Garden Island (Western Australia);Seagrass;Vegetated;Posidonia;Persistent;-32.15988889;115.6712222;Temperate Southern Oceans;coastal;2;86.1811;183.7987203;361;1.176033609;0.001155131;0.702781243;-15.3247465;0;;;
Sg_002;M;Garden Island (Western Australia);Seagrass;Vegetated;Posidonia;Persistent;-32.15988889;115.6712222;Temperate Southern Oceans;coastal;2;88.3629;187.9531466;375;1.615093571;0.002855067;0.709010428;-15.36282333;0;;;
Sg_002;M;Garden Island (Western Australia);Seagrass;Vegetated;Posidonia;Persistent;-32.15988889;115.6712222;Temperate Southern Oceans;coastal;2;90.5447;192.107573;390;1.486882241;0.001445333;0.712163855;-16.63462821;0;;;
Sg_002;M;Garden Island (Western Australia);Seagrass;Vegetated;Posidonia;Persistent;-32.15988889;115.6712222;Temperate Southern Oceans;coastal;2;92.7265;196.2619994;405;1.302819605;0.00198145;0.716486983;-15.72239268;0;;;
Sg_002;M;Garden Island (Western Australia);Seagrass;Vegetated;Posidonia;Persistent;-32.15988889;115.6712222;Temperate Southern Oceans;coastal;2;94.9083;200.4164258;420;1.421322979;0.002941757;0.722905308;-14.81015715;0;;;
Sg_002;M;Garden Island (Western Australia);Seagrass;Vegetated;Posidonia;Persistent;-32.15988889;115.6712222;Temperate Southern Oceans;coastal;2;97.0901;206.6480653;440;1.853863272;0.001536104;0.72625678;-18.95263654;0;;;
Sg_002;M;Garden Island (Western Australia);Seagrass;Vegetated;Posidonia;Persistent;-32.15988889;115.6712222;Temperate Southern Oceans;coastal;2;99.13735251;208.7252785;460;1.715047231;0.000973985;0.728250773;-17.29453721;3.40E-07;;;
Sg_003;J;Garden Island (Western Australia);Seagrass;Vegetated;Posidonia;Persistent;-32.15815325;115.6715521;Temperate Southern Oceans;coastal;4;1.1127;0;0;0.766044105;0.027412469;0.030501855;;1.349793987;;;
Sg_003;J;Garden Island (Western Australia);Seagrass;Vegetated;Posidonia;Persistent;-32.15815325;115.6715521;Temperate Southern Oceans;coastal;4;3.3381;8;14;0.875465139;0.014398303;0.062543838;-18.71526737;0;;;
Sg_003;J;Garden Island (Western Australia);Seagrass;Vegetated;Posidonia;Persistent;-32.15815325;115.6715521;Temperate Southern Oceans;coastal;4;5.5635;16;18;0.868999279;0.020332021;0.107790717;-13.33372787;1.782908962;;;
