labID,age,error,depth,cc,dR,dSTD
Greece3A 0,-68,1,0,0,0,0
Greece3A 39.624,1968,36,966.7,2,-116,117
Greece3A 82.296,2647,38,2327.9,2,-116,117
Greece3A 140.208,2982,28,4395.1,2,-116,117
Greece3A 278.384,4640,31,9868.7,2,-116,117
