"","Core","Depth","Acc.Mass","Age","Age.Pb","Age.C","Age1","Age.Pb1","Age.C1"
"85","Sg_588",6.096,86.6,-58,-58,-9,10,10,59
"86","Sg_588",7.112,104.2,-56,-56,3,12,12,71
"87","Sg_588",8.128,137.8,-51,-51,27,17,17,95
"88","Sg_588",9.144,150.4,-49,-49,35,19,19,103
"89","Sg_588",10.16,160,-47,-48,42,21,20,110
"90","Sg_588",11.176,184.6,-43,-44,59,25,24,127
"91","Sg_588",12.192,207.2,-39,-41,74,29,27,142
"92","Sg_588",13.208,227.8,-34,-37,88,34,31,156
"93","Sg_588",14.224,260.4,-27,-32,109,41,36,177
"94","Sg_588",15.24,277,-22,-29,121,46,39,189
"95","Sg_588",16.256,289.6,-18,-27,130,50,41,198
"96","Sg_588",17.272,323.2,0,-20,153,68,48,221
"97","Sg_588",18.288,335.8,10,-18,162,78,50,230
"98","Sg_588",19.304,382.4,41,-8,194,109,60,262
"99","Sg_588",20.32,405,57,-3,209,125,65,277
"100","Sg_588",21.336,426.6,73,1,224,141,69,292
"101","Sg_588",22.352,471.2,104,10,254,172,78,322
"102","Sg_588",23.368,491.8,118,14,268,186,82,336
"103","Sg_588",24.384,516.4,135,19,285,203,87,353
"104","Sg_588",25.4,549,158,26,308,226,94,376
"105","Sg_588",26.416,585.6,185,34,333,253,102,401
"106","Sg_588",27.432,614.2,204,39,352,272,107,420
"107","Sg_588",28.448,644.8,226,46,374,294,114,442
"108","Sg_588",29.464,673.4,245,51,393,313,119,461
"109","Sg_588",30.48,703,266,58,414,334,126,482
"110","Sg_588",31.496,730.6,285,63,433,353,131,501
"111","Sg_588",32.512,758.2,304,69,451,372,137,519
"112","Sg_588",33.528,784.8,324,74,470,392,142,538
"113","Sg_588",34.544,811.4,342,79,489,410,147,557
"114","Sg_588",35.56,846,366,87,513,434,155,581
"115","Sg_588",36.576,869.6,383,91,530,451,159,598
"116","Sg_588",37.592,907.2,409,99,555,477,167,623
"117","Sg_588",38.608,931.8,426,104,572,494,172,640
"118","Sg_588",39.624,966.7,449,111,595,517,179,663
"119","Sg_588",40.64,1004.3,472,119,618,540,187,686
"120","Sg_588",41.656,1032.9,490,125,635,558,193,703
"121","Sg_588",42.672,1057.5,505,130,649,573,198,717
"122","Sg_588",43.688,1087.1,523,136,666,591,204,734
"123","Sg_588",44.704,1110.7,537,141,680,605,209,748
"124","Sg_588",45.72,1142.3,556,147,698,624,215,766
"125","Sg_588",46.736,1176.9,577,154,719,645,222,787
"126","Sg_588",47.752,1210.5,597,161,738,665,229,806
"127","Sg_588",48.768,1243.1,617,168,758,685,236,826
"128","Sg_588",49.784,1281.7,641,176,780,709,244,848
"129","Sg_588",50.8,1314.3,661,182,799,729,250,867
"130","Sg_588",51.816,1342.9,678,188,816,746,256,884
"131","Sg_588",52.832,1375.5,697,194,835,765,262,903
"132","Sg_588",53.848,1408.1,717,201,855,785,269,923
"133","Sg_588",54.864,1440.7,737,208,874,805,276,942
"134","Sg_588",55.88,1464.3,751,212,887,819,280,955
"135","Sg_588",56.896,1498.9,772,219,908,840,287,976
"136","Sg_588",57.912,1535.5,793,227,929,861,295,997
"137","Sg_588",58.928,1560.1,808,232,944,876,300,1012
"138","Sg_588",59.944,1594.7,829,239,965,897,307,1033
