ID;Ecosystem;Lat;Long;nearest_long;nearest_lat;nitratos;pH;phosphates;temperature;water.velocity;salinidade
Mg_ 1036;Mangrove;27.64039;-82.73383;-82.72500281;27.62499953;1.02079923;8.06520777;0.00101661;24.58345639;24.53258432;0.01228494
Mg_ 1037;Mangrove;27.62708333;-82.71515;-82.72500281;27.62499953;1.02079923;8.06520777;0.00101661;24.58345639;24.53258432;0.01228494
Mg_ 1038;Mangrove;27.62706667;-82.7157;-82.72500281;27.62499953;1.02079923;8.06520777;0.00101661;24.58345639;24.53258432;0.01228494
Mg_ 1039;Mangrove;27.64098;-82.73395;-82.72500281;27.62499953;1.02079923;8.06520777;0.00101661;24.58345639;24.53258432;0.01228494
Mg_ 1040;Mangrove;27.64098;-82.73395;-82.72500281;27.62499953;1.02079923;8.06520777;0.00101661;24.58345639;24.53258432;0.01228494
Mg_ 1041;Mangrove;27.64098;-82.73395;-82.72500281;27.62499953;1.02079923;8.06520777;0.00101661;24.58345639;24.53258432;0.01228494
Mg_ 1042;Mangrove;27.64083;-82.73396;-82.72500281;27.62499953;1.02079923;8.06520777;0.00101661;24.58345639;24.53258432;0.01228494
Mg_ 1043;Mangrove;27.64083;-82.73396;-82.72500281;27.62499953;1.02079923;8.06520777;0.00101661;24.58345639;24.53258432;0.01228494
Mg_ 1044;Mangrove;27.580827;-82.563715;-82.5750028;27.62499953;1.02863723;8.0653739;0.00104507;24.64132852;24.61711048;0.00838888
Mg_ 1045;Mangrove;27.580827;-82.563715;-82.5750028;27.62499953;1.02863723;8.0653739;0.00104507;24.64132852;24.61711048;0.00838888
Mg_ 1046;Mangrove;27.846063;-82.6015;-82.5750028;27.82499953;1.16058953;8.0628611;0.00112078;24.59702294;24.53908038;0.00796545
Mg_ 1047;Mangrove;16.182486;-88.658633;-88.67500301;16.17499973;0.02315305;8.05611346;0.00028691;28.67785645;28.6590858;0.08968442
Mg_ 1048;Mangrove;16.182618;-88.658878;-88.67500301;16.17499973;0.02315305;8.05611346;0.00028691;28.67785645;28.6590858;0.08968442
Mg_ 1049;Mangrove;16.182674;-88.659092;-88.67500301;16.17499973;0.02315305;8.05611346;0.00028691;28.67785645;28.6590858;0.08968442
Mg_ 1050;Mangrove;16.182715;-88.659314;-88.67500301;16.17499973;0.02315305;8.05611346;0.00028691;28.67785645;28.6590858;0.08968442
Mg_ 1051;Mangrove;16.182778;-88.659524;-88.67500301;16.17499973;0.02315305;8.05611346;0.00028691;28.67785645;28.6590858;0.08968442
Mg_ 1052;Mangrove;16.182853;-88.659754;-88.67500301;16.17499973;0.02315305;8.05611346;0.00028691;28.67785645;28.6590858;0.08968442
Mg_ 1053;Mangrove;16.18206;-88.6565;-88.67500301;16.17499973;0.02315305;8.05611346;0.00028691;28.67785645;28.6590858;0.08968442
Mg_ 1054;Mangrove;16.182147;-88.656372;-88.67500301;16.17499973;0.02315305;8.05611346;0.00028691;28.67785645;28.6590858;0.08968442
Mg_ 1055;Mangrove;16.18223;-88.65619;-88.67500301;16.17499973;0.02315305;8.05611346;0.00028691;28.67785645;28.6590858;0.08968442
Mg_ 1056;Mangrove;16.182337;-88.65605;-88.67500301;16.17499973;0.02315305;8.05611346;0.00028691;28.67785645;28.6590858;0.08968442
