"","ID","Ecosystem","Av_C","SE_C","M_C","Av_Mud","SE_Mud","M_Mud","Av_13C","SE_13C","M_13C","Av_C_25","SE_C_25","M_C_25","Av_Mud_25","SE_Mud_25","M_Mud_25","Av_13C_25","SE_13C_25","M_13C_25"
"33","Mg_037","Mangrove",2.79876935436735,0.170957889758227,2.374592907,17.3726266483673,0.639843884516162,15.94317285,NA,NA,NA,2.82217446847619,0.193252425153043,2.715277942,16.4553599933333,0.351619824766019,15.94317285,NA,NA,NA
"34","Mg_038","Mangrove",3.57329211092,0.260284238611551,3.200059295,18.58392215686,0.796160065500654,17.95010846,NA,NA,NA,4.10411939427273,0.42719560944064,3.492092221,20.1977481681818,0.81271960852103,17.95010846,NA,NA,NA
"35","Mg_039","Mangrove",2.82235400983333,0.621378175845713,2.3350655455,18.266198965,1.18828675681451,18.266198965,NA,NA,NA,2.01930302425,0.224127678748221,1.8880691725,16.9376539825,1.3285449825,18.266198965,NA,NA,NA
"36","Mg_040","Mangrove",1.488571256,0.0855597981705676,1.368779425,10.05576866,0.257884276454353,10.47689192,NA,NA,NA,1.52089556675,0.102271028787284,1.4985932915,10.2136898825,0.2632020375,10.47689192,NA,NA,NA
"37","Mg_041","Mangrove",1.39039552116667,0.10762854775494,1.4156109705,9.6386033125,1.76939803141578,9.6386033125,NA,NA,NA,1.27340141625,0.121216089406453,1.3446168115,11.61685045125,1.97824713875,9.6386033125,NA,NA,NA
"38","Mg_042","Mangrove",2.27056702242857,0.217588242463182,2.412798793,14.0723655684286,1.67356047960873,17.62252346,NA,NA,NA,2.43119415075,0.356052921013672,2.6433556095,17.62252346,0,17.62252346,NA,NA,NA
"39","Mg_043","Mangrove",1.21582837516667,0.110464833411578,1.3043057625,7.3729768225,0.793834484622759,7.3729768225,NA,NA,NA,1.13235901775,0.153112857712363,1.274162047,8.26051075775,0.88753393525,7.3729768225,NA,NA,NA
"40","Mg_044","Mangrove",3.33315593,0.955291415177199,2.152981926,NA,NA,NA,NA,NA,NA,3.635684491,1.201153698,3.635684491,NA,NA,NA,NA,NA,NA
"41","Mg_045","Mangrove",2.99717098828571,0.75330287570696,2.14268408,NA,NA,NA,NA,NA,NA,1.99328895,0.696133451,1.99328895,NA,NA,NA,NA,NA,NA
"42","Mg_046","Mangrove",2.41941474233333,0.23925507986577,2.458863707,NA,NA,NA,NA,NA,NA,2.9292785025,0.1750111785,2.9292785025,NA,NA,NA,NA,NA,NA
"43","Mg_047","Mangrove",2.12108939671429,0.270830281963399,2.267422582,NA,NA,NA,NA,NA,NA,2.888216623,0.190514345,2.888216623,NA,NA,NA,NA,NA,NA
"44","Mg_048","Mangrove",1.6530168158,0.249238431603231,1.545935118,NA,NA,NA,NA,NA,NA,2.1070231725,0.4940042675,2.1070231725,NA,NA,NA,NA,NA,NA
"45","Mg_049","Mangrove",7.1301972268,0.867365503114628,6.322566786,53.3766272727273,3.64441934894664,51.6356,NA,NA,NA,9.413476509,1.19184525834089,11.016327315,58.73695,5.00755724490494,51.6356,NA,NA,NA
"46","Mg_050","Mangrove",3.93181629078571,0.323271533821586,3.7673601385,32.3662909090909,1.43357121499458,33.9137,NA,NA,NA,4.5678739664,0.301185195545385,4.1935776665,35.985125,1.14268098296131,33.9137,NA,NA,NA
"47","Mg_051","Mangrove",3.28708912054286,0.349465517448811,2.518904229,12.7427672727273,1.57290103925364,13.9511,NA,NA,NA,3.89428170535,0.491129276776564,2.904162723,17.72159,1.73269710837421,13.9511,NA,NA,NA
"48","Mg_052","Mangrove",2.18409686370769,0.19074341825822,1.800753533,39.1807408574194,1.47194486728877,37.04690976,NA,NA,NA,1.795680531,0.29743833855735,1.593895844,47.5138904316667,3.60558095993975,37.04690976,NA,NA,NA
"49","Mg_053","Mangrove",6.0643287549697,0.576456236590232,5.132922845,17.3134556000606,2.44582020947414,14.73360656,NA,NA,NA,5.93402459425,0.493640315952475,4.851941844,21.5897278275,3.74042637426906,14.73360656,NA,NA,NA
"50","Mg_054","Mangrove",2.19303618638235,0.324366804033774,2.103894644,19.063977212,2.33797022284848,12.696581805,NA,NA,NA,2.423559471,0.0791083429318939,2.177046129,25.1625545155,3.34715259325787,12.696581805,NA,NA,NA
"51","Mg_055","Mangrove",4.24138533111111,0.640001404501433,4.094803618,13.6336232888889,1.09854703886817,14.91065927,NA,NA,NA,4.70236898325,0.495917439726235,4.803971485,14.5746914935,1.37039456999395,14.91065927,NA,NA,NA
"52","Mg_056","Mangrove",4.32446427817021,0.1872666430459,4.166488283,31.9428188910638,1.51256855422959,34.74903475,NA,NA,NA,4.86695092925,0.225662877874561,4.8866096955,22.1405604,0,34.74903475,NA,NA,NA
"53","Mg_057","Mangrove",4.41831944276596,0.167830114125473,4.107991391,50.7764431787234,1.45097232606276,55.87712617,NA,NA,NA,5.2188679948,0.150655737227987,5.2524964875,57.7840265875,0.734512106054704,55.87712617,NA,NA,NA
"54","Mg_058","Mangrove",4.40659812247917,0.162535577070498,4.243631511,36.981055793125,0.691417546248376,37.358378215,NA,NA,NA,3.9520155805,0.132771648045074,4.243631511,34.0439960825,0.817862014421805,37.358378215,NA,NA,NA
"55","Mg_059","Mangrove",2.28571428571429,0.251498907910695,2.17,NA,NA,NA,NA,NA,NA,1.8,NA,1.8,NA,NA,NA,NA,NA,NA
"56","Mg_060","Mangrove",1.94666666666667,0.113450919392974,1.905,NA,NA,NA,NA,NA,NA,1.74,0.0873689494805411,1.79,NA,NA,NA,NA,NA,NA
"57","Mg_061","Mangrove",2.811,0.111917132041723,2.925,NA,NA,NA,NA,NA,NA,3.11666666666667,0.0674124947205223,3.14,NA,NA,NA,NA,NA,NA
"58","Mg_062","Mangrove",2.60222222222222,0.0629986282429532,2.54,NA,NA,NA,NA,NA,NA,2.78333333333333,0.121974496423547,2.89,NA,NA,NA,NA,NA,NA
